"Id","Name","Url","Parent","Wave","Folder","Slug","IsFolder"
"52","Sales Return","transaction/sales/listall/sales_return","292","1","transaction","sales-return","False"
"53","Check List","reports/accounts/checklist","36","2","accounts_master","check-list","False"
"54","Db Download","settings/setting/db_download","50","1","settings","db-download","False"
"55","Item Discount Group","items//itemgroup","24","1","master","item-discount-group","False"
"57","Discount Group  Report","reports/sales/type","297","2","reports","discount-group-report","False"
"58","Item Master","inventory_master/Item/listall","24","1","master","item-master","False"
"60","Messages","settings/sms/msg","290","1","settings","messages","False"
"63","Districts","blood/blood/districts","61","3","other","districts","False"
"87","GST","masters/gst","15","1","other","gst","False"
"88","Hsn Code","masters/hsncode","24","1","other","hsn-code","False"
"89","Aging","reports/aging/listall","115","2","reports","aging","False"
"91","Software Version","settings/SoftwareVersion/listall","50","1","settings","software-version","False"
"92","Users","settings/NewMaster/Users","291","1","master","users","False"
"95","Company Settings","settings/CompanySettings/listall","123","1","settings","company-settings","False"
"97","Menu To User","settings/MenuToUser/listall","291","1","settings","menu-to-user","False"
"105","Purchase Return","transaction/purchase/listall/purchase_return","293","1","transaction","purchase-return","False"
"106","Purchase Order","transaction/purchase/listall/order","293","1","transaction","purchase-order","False"
"108","Bill Types","master/Newmasters/bill_type","50","1","master","bill-types","False"
"109","Area","master/Newmasters/Area","15","1","master","area","False"
"111","Print Types","master/Newmasters/print_type","50","1","master","print-types","False"
"112","Excel Import","item/excel","50","1","master","excel-import","False"
"115","Inventory Reports","","0","-","other","inventory-reports","True"
"118","Item Wise Sales Register","reports/item/itemereport","297","2","master","item-wise-sales-register","False"
"120","GST Reports","","0","-","other","gst-reports","True"
"121","GSTR 1","reports/gst/gstreport","483","2","reports","gstr-1","False"
"122","GSTR 2 Report","reports/gst/gstr2report","483","2","reports","gstr-2-report","False"
"123","General Settings","","50","-","other","general-settings","True"
"124","Godown Transfer","master/itemtransfer/list_all","29","1","master","godown-transfer","False"
"125","Purchase Report","reports/purchase/purchasereport","296","2","reports","purchase-report","False"
"126","Sales Reports","reports/Sales/salesreport","295","2","reports","sales-reports","False"
"129","Set Device","settings/set_device/device","50","1","settings","set-device","False"
"131","Godown","master/godown/godown","24","1","master","godown","False"
"132","Racks","Item/racks","24","1","master","racks","False"
"133","Login Logs","settings/loginsett/listall","50","1","settings","login-logs","False"
"156","Item Wise Sales Report","reports/itemwisereport/sales","297","2","reports","item-wise-sales-report","False"
"157","Opening Stock Report","reports/itemdetails/listall","297","2","reports","opening-stock-report","False"
"159","Item Wise Margin Report","reports/marginreport/itemwise","297","2","reports","item-wise-margin-report","False"
"160","BillWise Margin Report","reports/marginreport/billwise","295","2","reports","billwise-margin-report","False"
"161","Stock Movement Report","reports/itemwisereport/quantity","297","2","reports","stock-movement-report","False"
"162","Total Sales Report","reports/totalinvoicereport/sales","295","2","reports","total-sales-report","False"
"163","Total Purchase Report","reports/totalinvoicereport/purchase","296","2","reports","total-purchase-report","False"
"165","Item Wise Purchase Report","reports/itemwisereport/purchase","297","2","reports","item-wise-purchase-report","False"
"166","Invoice Report","reports/invoice/invoicereport","295","2","reports","invoice-report","False"
"191","Damage Stock","master/Itemdamage/list_all","29","1","master","damage-stock","False"
"194","My Menu","settings/menus/user_menu","50","1","settings","my-menu","False"
"198","Material Type","master/amaster/material_type","15","1","master","material-type","False"
"199","Profit & Loss A/C","reports/accounts/profitandlossdaywise","36","2","accounts_master","profit-loss-ac","False"
"200","Purchase Return Report","reports/purchase/purchasereturn","296","2","reports","purchase-return-report","False"
"201","Sales Order Report","reports/Sales/saleorder","295","2","reports","sales-order-report","False"
"203","Sales Return Report","reports/Sales/salesreturn","295","2","reports","sales-return-report","False"
"204","Currency","master/amaster/currency_type","15","1","master","currency","False"
"205","Total Outstanding Report","reports/outstandingreport/outstandingreport","115","2","reports","total-outstanding-report","False"
"206","Outstanding Reports","reports/aging/outstand","115","2","reports","outstanding-reports","False"
"207","Coupons","master/coupons/listall","15","1","master","coupons","False"
"210","Route","master/newmasters/route","15","1","master","route","False"
"211","Sales Bill","transaction/sales/sales/sales","292","1","transaction","sales-bill","False"
"212","Purchase Bill","transaction/purchase/create/purchase","293","1","transaction","purchase-bill","False"
"213","Opening Stock Edit","itemedit/listall","24","1","master","opening-stock-edit","False"
"214","Set Database","master/Newmasters/year_database","50","1","master","set-database","False"
"216","Brands","master/amaster/brands_master","24","1","master","brands","False"
"218","Printers","master/amaster/printers","50","1","master","printers","False"
"220","Cess","masters/cess","15","1","other","cess","False"
"222","User Settings","settings/NewMaster/user_settings","291","1","master","user-settings","False"
"223","Stock Report","reports/Items/listall","297","2","master","stock-report","False"
"224","Sales Order Merge Report","reports/SalesOrderMerge/mergereport","295","2","reports","sales-order-merge-report","False"
"226","Bill Format","billformat/billformat","50","1","settings","bill-format","False"
"229","Slider","settings/sliders/listall","50","1","settings","slider","False"
"230","Cheque","transaction/chque/list_all","29","1","transaction","cheque","False"
"231","Bank","Masters/bank","13","1","other","bank","False"
"232","Customer Ledger Balance","reports/Ledger_balance/ledger_balance/cus","36","2","reports","customer-ledger-balance","False"
"233","Supplier Ledger Balance","reports/Ledger_balance/ledger_balance/sup","36","2","reports","supplier-ledger-balance","False"
"235","Detailed stock report","reports/items/list_all","297","2","master","detailed-stock-report","False"
"241","SMS","settings/message/listall","290","1","settings","sms","False"
"242","SMS Types","settings/sms/sms_types","290","1","settings","sms-types","False"
"243","SMS Settings","settings/sms/sms_settings","290","1","settings","sms-settings","False"
"244","Day Summary Report","reports/Daybook/Daybook","417","2","reports","day-summary-report","False"
"245","Commission Report","reports/Commission/Commision","115","2","reports","commission-report","False"
"246","Quick Voucher","transaction/Quick_voucher/listall","294","1","transaction","quick-voucher","False"
"247","Day Report","reports/Daybook/Day_Report","36","2","reports","day-report","False"
"251","Merge","Merge/Ledger","250","1","other","merge","False"
"252","Corrupted Ledger","reports/Ledger_mistake/ledger_mistake","36","2","reports","corrupted-ledger","False"
"256","Tags","Item_tags/list_all","254","1","other","tags","False"
"257","Item Tags","Item_tags/list_tag","254","1","other","item-tags","False"
"260","Vehicle","Vehicle_masters/vehicle","259","3","transport","vehicle","False"
"261","Insurance","Vehicle_masters/vehicle_insurance","259","3","transport","insurance","False"
"262","Insurance Company","Vehicle_masters/vehicle_insurance_company","259","3","transport","insurance-company","False"
"263","Manufactur","Vehicle_masters/vehicle_manufacture","259","3","transport","manufactur","False"
"264","Drivers","Vehicle_masters/vehicle_drivers","259","3","transport","drivers","False"
"265","Vehicle Sales","sales_vehicle/Sales_vehicle/listall","259","1","transport","vehicle-sales","False"
"266","Vehicle Report","veh_reports/Trip_reports/listall","259","3","reports","vehicle-report","False"
"277","Visa Types","Vehicle_masters/visa_type","268","3","transport","visa-types","False"
"290","SMS Master","","50","-","other","sms-master","True"
"291","User Settings","","50","-","other","user-settings","True"
"292","Sales","","29","-","other","sales","True"
"293","Purchase","","29","-","other","purchase","True"
"294","Vouchers","","29","-","other","vouchers","True"
"295","Sales Reports","","115","-","other","sales-reports","True"
"296","Purchase Reports","","115","-","other","purchase-reports","True"
"297","Item Reports","","115","-","other","item-reports","True"
"305","Salary Distribution","hr/SalaryDistribution/list_all","317","2","hr","salary-distribution","False"
"306","Salary Package","hr/SalaryPackage/list_all","317","2","hr","salary-package","False"
"309","Designation","hr/designation/list_all","317","2","hr","designation","False"
"310","Department","hr/department/list_all","317","2","hr","department","False"
"311","Role","hr/role/list_all","317","2","hr","role","False"
"312","Holidays","hr/Holidays/list_all","317","2","hr","holidays","False"
"313","Pay Settings","hr/paysettings/list_all","317","2","settings","pay-settings","False"
"314","Leave Type","hr/leavetype/list_all","317","2","hr","leave-type","False"
"315","Course","hr/course/list_all","317","2","hr","course","False"
"316","Employee","hr/Employee/list_all","317","2","hr","employee","False"
"317","HR","","1000","-","other","hr","True"
"318","Lead report","crm_general/reports/Lead_report/list_leads_report","336","2","reports","lead-report","False"
"319","Enquiry report","crm_general/reports/Enquiry_report/list_enquiry_report","336","2","reports","enquiry-report","False"
"320","Productwise Enquiry report","crm_general/reports/Productwise_report/list_product_report","336","2","reports","productwise-enquiry-report","False"
